customer_id,wilayah,kelompok_usia,jenis_kelamin,segmen_pekerjaan,thin_file,lama_riwayat_kredit_bulan,jumlah_fasilitas_kredit_aktif,rasio_utang_pendapatan,riwayat_keterlambatan_90hari,konsistensi_isi_ulang_pulsa,lama_kepemilikan_nomor_bulan,rata_rata_pulsa_bulanan_rp,frekuensi_transaksi_ecommerce_bulanan,rating_rata_penjual_pembeli,rasio_retur_pembelian,rata_rata_kas_masuk_bulanan_rp,volatilitas_kas_cv,jumlah_hari_kas_negatif_per_bulan,default_flag
CUST100020,Kalimantan,26-35,P,Karyawan Formal,0,54.0,3,0.309,0,0.578,112.0,14000.0,4,4.72,0.064,2780000.0,0.379,0,0
CUST100021,Jawa Non-Jabodetabek,26-35,L,UMKM/Wirausaha,1,0.0,0,0.038,,0.739,70.0,25000.0,3,4.89,0.225,7890000.0,0.367,3,0
CUST100022,Luar Jawa Lainnya,26-35,L,UMKM/Wirausaha,1,0.0,0,0.472,,0.807,113.0,13000.0,5,4.88,0.054,2250000.0,0.563,1,1
CUST100023,Sulawesi,18-25,L,Karyawan Formal,0,22.0,1,0.56,0,0.479,73.0,46000.0,3,3.82,0.134,500000.0,0.1,1,0
CUST100024,Kalimantan,36-45,L,UMKM/Wirausaha,0,56.0,2,0.409,1,0.808,46.0,35000.0,5,4.36,0.216,6310000.0,0.534,3,0
CUST100025,Jabodetabek,36-45,L,Karyawan Formal,1,0.0,0,0.339,,0.616,31.0,73000.0,6,4.33,0.151,1830000.0,0.02,1,0
CUST100026,Jawa Non-Jabodetabek,46-55,L,UMKM/Wirausaha,0,28.0,2,0.212,0,0.657,105.0,38000.0,3,4.55,0.054,3240000.0,0.432,5,0
CUST100027,Jabodetabek,26-35,P,UMKM/Wirausaha,1,0.0,0,0.186,,0.543,23.0,34000.0,2,4.16,0.139,5240000.0,0.396,4,0
CUST100028,Jabodetabek,26-35,L,UMKM/Wirausaha,0,18.0,2,0.43,0,0.494,46.0,74000.0,2,4.81,0.093,6200000.0,0.497,5,0
CUST100029,Kalimantan,36-45,L,Karyawan Formal,0,14.0,3,0.187,1,0.741,131.0,66000.0,6,5.0,0.01,1630000.0,0.263,2,0
CUST100030,Kalimantan,26-35,L,Karyawan Formal,0,78.0,2,0.411,0,0.729,35.0,59000.0,5,5.0,0.236,3210000.0,0.129,1,0
CUST100031,Luar Jawa Lainnya,36-45,L,UMKM/Wirausaha,1,0.0,0,0.204,,0.548,43.0,37000.0,3,3.67,0.066,5970000.0,0.404,4,1
CUST100032,Jawa Non-Jabodetabek,46-55,P,Karyawan Formal,0,43.0,1,0.519,0,0.781,90.0,28000.0,6,3.61,0.0,590000.0,0.219,1,1
CUST100033,Jawa Non-Jabodetabek,18-25,L,Pekerja Informal/Gig,1,0.0,0,0.277,,0.436,74.0,89000.0,4,4.47,0.004,2960000.0,0.257,1,0
CUST100034,Jawa Non-Jabodetabek,26-35,L,UMKM/Wirausaha,1,0.0,0,0.33,,0.746,59.0,29000.0,2,4.54,0.032,4850000.0,0.327,1,0
CUST100035,Jabodetabek,46-55,L,UMKM/Wirausaha,1,0.0,0,0.431,,0.809,87.0,55000.0,4,5.0,0.145,4640000.0,0.426,2,1
CUST100036,Jabodetabek,36-45,L,Karyawan Formal,0,81.0,0,0.564,2,0.555,67.0,15000.0,3,4.44,0.231,2500000.0,0.281,0,0
CUST100037,Jawa Non-Jabodetabek,36-45,P,Pekerja Informal/Gig,1,0.0,0,0.488,,0.728,16.0,37000.0,6,3.81,0.022,1990000.0,0.186,3,0
CUST100038,Jabodetabek,36-45,P,UMKM/Wirausaha,0,64.0,1,0.367,0,0.863,47.0,38000.0,9,4.77,0.083,3830000.0,0.409,3,0
CUST100039,Sumatra,36-45,L,UMKM/Wirausaha,0,91.0,1,0.36,0,0.539,41.0,21000.0,2,5.0,0.074,7700000.0,0.526,2,0
CUST100040,Jawa Non-Jabodetabek,18-25,L,Pekerja Informal/Gig,0,52.0,2,0.15,0,0.819,75.0,42000.0,3,5.0,0.031,1220000.0,0.241,3,0
CUST100041,Sulawesi,46-55,L,Karyawan Formal,0,38.0,0,0.305,0,0.675,60.0,46000.0,5,3.98,0.01,2390000.0,0.424,0,0
CUST100042,Kalimantan,56+,P,Pekerja Informal/Gig,1,0.0,0,0.61,,0.805,117.0,44000.0,2,4.04,0.361,3190000.0,0.36,2,1
CUST100043,Jawa Non-Jabodetabek,18-25,L,Karyawan Formal,0,111.0,3,0.373,0,0.702,24.0,23000.0,6,4.55,0.031,1290000.0,0.525,0,0
CUST100044,Sulawesi,18-25,P,Pekerja Informal/Gig,1,0.0,0,0.215,,0.467,116.0,43000.0,5,4.5,0.082,1940000.0,0.219,3,1
CUST100045,Sulawesi,36-45,L,Pekerja Informal/Gig,1,0.0,0,0.488,,0.621,40.0,67000.0,5,4.98,0.033,5910000.0,0.351,1,0
CUST100046,Jawa Non-Jabodetabek,36-45,P,UMKM/Wirausaha,1,0.0,0,0.383,,0.687,164.0,14000.0,5,3.61,0.168,3940000.0,0.667,4,1
CUST100047,Jawa Non-Jabodetabek,26-35,L,Pekerja Informal/Gig,1,0.0,0,0.02,,0.394,96.0,51000.0,3,4.94,0.016,2530000.0,0.275,0,0
CUST100048,Kalimantan,36-45,L,Karyawan Formal,0,58.0,3,0.196,1,1.0,68.0,40000.0,4,3.89,0.06,1110000.0,0.253,1,0
CUST100049,Jabodetabek,36-45,L,UMKM/Wirausaha,1,0.0,0,0.134,,0.642,57.0,25000.0,3,3.79,0.048,3990000.0,0.662,2,0
CUST100050,Jabodetabek,36-45,L,UMKM/Wirausaha,1,0.0,0,0.164,,0.705,94.0,23000.0,2,4.59,0.008,3850000.0,0.416,6,1
CUST100051,Jabodetabek,18-25,P,UMKM/Wirausaha,0,22.0,4,0.233,0,0.638,100.0,148000.0,6,4.81,0.077,800000.0,0.418,2,0
CUST100052,Kalimantan,18-25,L,UMKM/Wirausaha,0,26.0,2,0.463,0,0.521,85.0,38000.0,4,4.16,0.064,6690000.0,0.422,6,0
CUST100053,Sumatra,26-35,L,UMKM/Wirausaha,0,16.0,0,0.176,0,0.751,24.0,57000.0,3,4.24,0.025,7110000.0,0.376,3,0
CUST100054,Kalimantan,56+,P,UMKM/Wirausaha,0,28.0,0,0.109,0,0.728,106.0,39000.0,3,5.0,0.135,4590000.0,0.7,8,0
CUST100055,Kalimantan,36-45,L,Karyawan Formal,0,50.0,1,0.483,0,0.235,88.0,41000.0,9,4.37,0.076,2020000.0,0.176,1,0
CUST100056,Jawa Non-Jabodetabek,26-35,L,UMKM/Wirausaha,1,0.0,0,0.328,,0.649,30.0,62000.0,5,4.52,0.171,2230000.0,0.48,2,1
CUST100057,Sumatra,46-55,L,Karyawan Formal,0,22.0,0,0.503,0,0.742,109.0,73000.0,3,4.75,0.043,1570000.0,0.188,1,0
CUST100058,Jabodetabek,26-35,L,UMKM/Wirausaha,1,0.0,0,0.373,,0.53,76.0,66000.0,8,3.94,0.062,1270000.0,0.168,5,0
CUST100059,Jabodetabek,36-45,P,Karyawan Formal,0,28.0,1,1.02,0,0.401,117.0,12000.0,1,4.25,0.115,3870000.0,0.108,2,0
CUST100060,Sumatra,18-25,L,UMKM/Wirausaha,0,54.0,4,0.322,0,0.904,48.0,56000.0,4,3.89,0.145,3820000.0,0.353,2,0
CUST100061,Jawa Non-Jabodetabek,36-45,P,Pekerja Informal/Gig,1,0.0,0,0.199,,0.666,88.0,21000.0,2,4.61,0.105,4350000.0,0.297,0,0
CUST100062,Sumatra,36-45,L,Pekerja Informal/Gig,1,0.0,0,0.394,,0.341,93.0,22000.0,5,4.2,0.12,2170000.0,0.143,1,0
CUST100063,Kalimantan,46-55,L,UMKM/Wirausaha,1,0.0,0,0.291,,0.783,74.0,76000.0,3,3.54,0.105,4160000.0,0.247,3,0
CUST100064,Sumatra,26-35,P,Karyawan Formal,0,31.0,2,0.41,0,0.47,79.0,38000.0,8,4.37,0.02,760000.0,0.203,3,0
CUST100065,Sumatra,26-35,P,UMKM/Wirausaha,1,0.0,0,0.293,,1.0,59.0,17000.0,2,4.58,0.126,4670000.0,0.51,1,0
CUST100066,Sumatra,18-25,P,UMKM/Wirausaha,1,0.0,0,0.567,,0.6,59.0,42000.0,8,4.94,0.214,6590000.0,0.427,2,1
CUST100067,Jawa Non-Jabodetabek,56+,L,Karyawan Formal,0,47.0,2,0.576,3,0.301,17.0,57000.0,8,4.69,0.054,1890000.0,0.046,1,1
CUST100068,Jabodetabek,18-25,L,Pekerja Informal/Gig,1,0.0,0,0.242,,0.95,43.0,69000.0,1,4.09,0.16,4630000.0,0.267,0,0
CUST100069,Jawa Non-Jabodetabek,36-45,P,Karyawan Formal,0,23.0,0,0.478,0,0.696,65.0,21000.0,5,5.0,0.464,2910000.0,0.225,2,0
CUST100070,Jabodetabek,36-45,P,UMKM/Wirausaha,1,0.0,0,0.51,,0.571,81.0,21000.0,3,4.34,0.132,5190000.0,0.256,3,0
CUST100071,Jawa Non-Jabodetabek,18-25,L,UMKM/Wirausaha,1,0.0,0,0.538,,0.727,73.0,158000.0,2,4.35,0.051,7130000.0,0.206,1,0
CUST100072,Sulawesi,26-35,L,Pekerja Informal/Gig,1,0.0,0,0.101,,0.8,97.0,11000.0,3,4.41,0.091,9460000.0,0.073,1,0
CUST100073,Jabodetabek,18-25,P,Pekerja Informal/Gig,1,0.0,0,0.426,,1.0,39.0,77000.0,6,5.0,0.032,1520000.0,0.252,2,0
CUST100074,Jabodetabek,36-45,L,Karyawan Formal,0,53.0,0,0.163,0,0.579,200.0,29000.0,6,3.74,0.069,1990000.0,0.399,2,1
CUST100075,Jawa Non-Jabodetabek,56+,P,Pekerja Informal/Gig,1,0.0,0,0.258,,0.521,56.0,23000.0,5,5.0,0.043,3560000.0,0.101,2,0
CUST100076,Jawa Non-Jabodetabek,26-35,P,Pekerja Informal/Gig,1,0.0,0,0.367,,1.0,63.0,30000.0,2,4.3,0.021,1380000.0,0.13,0,0
CUST100077,Sumatra,56+,L,Pekerja Informal/Gig,1,0.0,0,0.239,,0.453,127.0,33000.0,3,4.27,0.101,2370000.0,0.092,1,0
CUST100078,Sumatra,18-25,L,Karyawan Formal,0,37.0,2,0.352,0,0.668,85.0,28000.0,3,4.59,0.047,2770000.0,0.239,2,0
CUST100079,Kalimantan,26-35,P,UMKM/Wirausaha,0,84.0,0,0.504,0,0.574,74.0,31000.0,4,4.9,0.008,4740000.0,0.416,2,1
CUST100080,Sumatra,46-55,P,Pekerja Informal/Gig,1,0.0,0,0.405,,0.516,48.0,36000.0,3,5.0,0.029,4380000.0,0.277,1,1
CUST100081,Jawa Non-Jabodetabek,46-55,P,Karyawan Formal,0,103.0,1,0.266,0,0.61,110.0,31000.0,9,4.83,0.02,770000.0,0.033,1,0
CUST100082,Sulawesi,26-35,P,UMKM/Wirausaha,0,124.0,0,0.382,0,0.524,95.0,72000.0,7,4.05,0.24,2430000.0,0.373,4,0
CUST100083,Jabodetabek,36-45,L,UMKM/Wirausaha,1,0.0,0,0.389,,0.775,104.0,34000.0,3,4.71,0.198,5890000.0,0.332,4,0
CUST100084,Jabodetabek,46-55,L,UMKM/Wirausaha,0,17.0,4,0.453,0,0.694,49.0,35000.0,4,4.88,0.089,3720000.0,0.405,4,0
CUST100085,Jabodetabek,36-45,P,Karyawan Formal,0,28.0,6,0.178,3,0.631,116.0,16000.0,4,4.93,0.105,1060000.0,0.161,0,0
CUST100086,Kalimantan,36-45,L,Karyawan Formal,0,38.0,1,0.3,0,0.783,50.0,137000.0,8,4.32,0.033,7030000.0,0.02,1,0
CUST100087,Jawa Non-Jabodetabek,18-25,P,UMKM/Wirausaha,0,35.0,1,0.353,0,0.321,62.0,30000.0,3,3.84,0.181,1720000.0,0.319,4,1
CUST100088,Jabodetabek,18-25,L,Karyawan Formal,0,36.0,3,0.635,0,0.696,56.0,51000.0,2,5.0,0.127,2900000.0,0.298,0,1
CUST100089,Sumatra,36-45,L,Karyawan Formal,0,39.0,0,0.209,0,0.626,97.0,22000.0,5,3.52,0.052,3160000.0,0.317,1,0
CUST100090,Jabodetabek,36-45,L,UMKM/Wirausaha,0,27.0,4,0.399,0,0.68,48.0,18000.0,3,5.0,0.011,3160000.0,0.492,2,1
CUST100091,Kalimantan,26-35,P,Karyawan Formal,0,68.0,0,0.26,0,0.793,85.0,16000.0,5,4.64,0.074,1080000.0,0.175,3,0
CUST100092,Jawa Non-Jabodetabek,26-35,P,UMKM/Wirausaha,1,0.0,0,0.166,,0.744,74.0,26000.0,2,5.0,0.205,4000000.0,0.46,2,0
CUST100093,Jawa Non-Jabodetabek,26-35,P,Pekerja Informal/Gig,1,0.0,0,0.424,,0.923,110.0,49000.0,10,5.0,0.014,5850000.0,0.179,3,0
CUST100094,Jawa Non-Jabodetabek,26-35,L,UMKM/Wirausaha,0,27.0,1,0.246,0,0.644,54.0,49000.0,6,4.22,0.055,8520000.0,0.428,1,1
CUST100095,Sumatra,26-35,P,Karyawan Formal,1,0.0,0,0.529,,0.685,21.0,58000.0,3,4.0,0.153,3190000.0,0.237,0,1
CUST100096,Jawa Non-Jabodetabek,26-35,P,Karyawan Formal,0,28.0,2,0.205,3,0.762,66.0,45000.0,3,4.07,0.122,730000.0,0.246,2,0
CUST100097,Jabodetabek,18-25,L,UMKM/Wirausaha,1,0.0,0,0.333,,0.375,104.0,35000.0,6,3.85,0.028,7960000.0,0.344,5,1
CUST100098,Jabodetabek,46-55,P,UMKM/Wirausaha,1,0.0,0,0.397,,0.969,96.0,47000.0,5,3.9,0.15,4150000.0,0.558,2,0
CUST100099,Luar Jawa Lainnya,36-45,P,Pekerja Informal/Gig,1,0.0,0,0.349,,0.685,59.0,45000.0,3,5.0,0.13,3010000.0,0.342,2,0
CUST100100,Luar Jawa Lainnya,18-25,L,UMKM/Wirausaha,0,46.0,2,0.097,1,0.473,57.0,11000.0,2,3.65,0.022,2530000.0,0.675,1,1
CUST100101,Kalimantan,26-35,L,UMKM/Wirausaha,0,20.0,1,0.112,1,0.64,30.0,35000.0,3,4.23,0.066,1220000.0,0.318,2,0
CUST100102,Jabodetabek,26-35,P,UMKM/Wirausaha,0,27.0,0,0.438,0,0.885,43.0,65000.0,9,4.15,0.055,5350000.0,0.309,4,0
CUST100103,Luar Jawa Lainnya,36-45,L,UMKM/Wirausaha,1,0.0,0,0.575,,0.449,79.0,52000.0,5,4.86,0.01,1980000.0,0.518,2,1
CUST100104,Kalimantan,36-45,P,Karyawan Formal,0,41.0,2,0.125,1,0.893,38.0,15000.0,5,4.61,0.077,2340000.0,0.103,0,0
CUST100105,Kalimantan,36-45,P,UMKM/Wirausaha,1,0.0,0,0.02,,0.921,50.0,34000.0,2,3.88,0.005,1090000.0,0.094,6,1
CUST100106,Jawa Non-Jabodetabek,36-45,L,Karyawan Formal,0,15.0,1,0.424,0,0.596,74.0,77000.0,11,3.42,0.075,2590000.0,0.204,1,0
CUST100107,Jabodetabek,18-25,L,UMKM/Wirausaha,0,31.0,3,0.453,0,0.518,93.0,38000.0,5,4.6,0.058,1380000.0,0.784,2,0
CUST100108,Jabodetabek,26-35,P,UMKM/Wirausaha,1,0.0,0,0.499,,0.913,50.0,32000.0,5,4.77,0.071,4730000.0,0.352,3,1
CUST100109,Luar Jawa Lainnya,18-25,L,Pekerja Informal/Gig,0,22.0,1,0.421,1,0.711,47.0,41000.0,7,4.89,0.154,2820000.0,0.229,0,0
CUST100110,Jawa Non-Jabodetabek,26-35,L,Karyawan Formal,0,46.0,1,0.474,0,0.71,85.0,29000.0,5,4.79,0.021,3330000.0,0.141,2,0
CUST100111,Jabodetabek,26-35,L,Pekerja Informal/Gig,1,0.0,0,0.701,,0.742,69.0,36000.0,6,4.33,0.056,1220000.0,0.23,0,1
CUST100112,Jawa Non-Jabodetabek,36-45,P,UMKM/Wirausaha,0,26.0,1,0.235,0,0.637,26.0,33000.0,3,4.72,0.024,6850000.0,0.219,2,0
CUST100113,Sumatra,18-25,L,Pekerja Informal/Gig,1,0.0,0,0.56,,0.726,34.0,26000.0,8,3.65,0.087,8720000.0,0.02,1,0
CUST100114,Jabodetabek,36-45,L,UMKM/Wirausaha,0,38.0,4,0.68,0,0.889,28.0,22000.0,2,4.72,0.113,3390000.0,0.205,8,0
CUST100115,Sulawesi,26-35,P,Pekerja Informal/Gig,1,0.0,0,0.369,,0.907,51.0,28000.0,7,4.48,0.011,1170000.0,0.094,0,0
CUST100116,Kalimantan,26-35,L,UMKM/Wirausaha,1,0.0,0,0.312,,0.886,40.0,58000.0,8,4.47,0.082,3030000.0,0.615,7,1
CUST100117,Kalimantan,36-45,P,Karyawan Formal,0,43.0,2,0.245,0,0.666,135.0,25000.0,10,4.12,0.139,3230000.0,0.36,2,0
CUST100118,Jawa Non-Jabodetabek,18-25,L,UMKM/Wirausaha,1,0.0,0,0.111,,0.468,74.0,139000.0,8,4.42,0.084,7130000.0,0.55,4,0
CUST100119,Sumatra,26-35,P,Pekerja Informal/Gig,1,0.0,0,0.02,,1.0,102.0,46000.0,2,4.81,0.094,3500000.0,0.299,0,0
CUST100120,Sumatra,26-35,L,UMKM/Wirausaha,1,0.0,0,0.555,,0.47,28.0,48000.0,7,3.44,0.009,2370000.0,0.319,1,0
CUST100121,Sumatra,36-45,L,Pekerja Informal/Gig,1,0.0,0,0.268,,0.749,53.0,28000.0,7,5.0,0.18,730000.0,0.364,0,0
CUST100122,Jabodetabek,26-35,L,Pekerja Informal/Gig,0,43.0,2,0.321,0,0.705,33.0,102000.0,5,4.09,0.135,1490000.0,0.287,2,0
CUST100123,Jawa Non-Jabodetabek,56+,P,Karyawan Formal,0,26.0,0,0.172,1,1.0,56.0,29000.0,3,5.0,0.009,3750000.0,0.09,0,0
CUST100124,Jabodetabek,56+,P,Pekerja Informal/Gig,0,46.0,1,0.322,0,0.977,110.0,50000.0,4,3.84,0.1,1640000.0,0.248,1,0
CUST100125,Jawa Non-Jabodetabek,46-55,L,UMKM/Wirausaha,1,0.0,0,0.547,,0.257,79.0,26000.0,6,4.39,0.129,7170000.0,0.554,1,1
CUST100126,Jawa Non-Jabodetabek,26-35,L,Karyawan Formal,0,20.0,0,0.234,0,0.354,66.0,34000.0,1,4.76,0.018,830000.0,0.266,4,1
CUST100127,Jabodetabek,36-45,L,UMKM/Wirausaha,1,0.0,0,0.69,,0.975,56.0,28000.0,8,4.79,0.083,2970000.0,0.365,6,0
CUST100128,Jabodetabek,18-25,L,Pekerja Informal/Gig,0,61.0,2,0.311,0,0.864,62.0,38000.0,8,5.0,0.054,2830000.0,0.309,2,0
CUST100129,Sumatra,46-55,L,UMKM/Wirausaha,0,38.0,2,0.37,0,0.554,46.0,21000.0,5,3.93,0.175,8440000.0,0.456,6,0
CUST100130,Jabodetabek,36-45,P,Karyawan Formal,1,0.0,0,0.532,,0.759,94.0,37000.0,4,5.0,0.272,1310000.0,0.256,2,1
CUST100131,Luar Jawa Lainnya,18-25,L,UMKM/Wirausaha,0,12.0,0,0.508,0,0.523,90.0,89000.0,1,3.51,0.148,3290000.0,0.431,5,1
CUST100132,Sumatra,26-35,P,Pekerja Informal/Gig,1,0.0,0,0.511,,0.648,102.0,47000.0,3,4.78,0.097,2170000.0,0.186,1,0
CUST100133,Jawa Non-Jabodetabek,46-55,L,UMKM/Wirausaha,1,0.0,0,0.811,,0.798,46.0,35000.0,3,4.54,0.012,2560000.0,0.365,5,1
CUST100134,Sumatra,46-55,P,UMKM/Wirausaha,1,0.0,0,0.507,,0.802,17.0,48000.0,8,4.49,0.098,4830000.0,0.645,2,1
CUST100135,Jabodetabek,36-45,L,UMKM/Wirausaha,1,0.0,0,0.378,,0.646,67.0,51000.0,5,5.0,0.082,3550000.0,0.409,5,1
CUST100136,Luar Jawa Lainnya,26-35,L,UMKM/Wirausaha,0,29.0,1,0.509,0,0.493,102.0,37000.0,3,3.85,0.137,13320000.0,0.689,2,1
CUST100137,Jawa Non-Jabodetabek,36-45,P,Karyawan Formal,0,81.0,1,0.203,0,0.6,72.0,34000.0,4,4.18,0.034,1220000.0,0.33,0,0
CUST100138,Kalimantan,46-55,L,Pekerja Informal/Gig,0,33.0,0,0.385,1,0.592,89.0,57000.0,2,3.81,0.01,1890000.0,0.398,0,0
CUST100139,Jabodetabek,36-45,P,Karyawan Formal,0,36.0,0,0.75,0,0.466,58.0,50000.0,3,4.85,0.049,2950000.0,0.321,0,1
CUST100140,Jawa Non-Jabodetabek,26-35,P,UMKM/Wirausaha,0,68.0,0,0.279,0,0.902,76.0,90000.0,1,4.66,0.026,2690000.0,0.535,2,0
CUST100141,Jawa Non-Jabodetabek,36-45,P,Pekerja Informal/Gig,1,0.0,0,0.485,,1.0,38.0,20000.0,1,4.19,0.019,760000.0,0.172,1,0
CUST100142,Luar Jawa Lainnya,46-55,P,UMKM/Wirausaha,1,0.0,0,0.248,,0.558,59.0,28000.0,2,3.74,0.061,7220000.0,0.366,1,1
CUST100143,Sumatra,18-25,L,Pekerja Informal/Gig,1,0.0,0,0.195,,0.682,48.0,20000.0,7,4.61,0.012,1120000.0,0.23,1,0
CUST100144,Jawa Non-Jabodetabek,26-35,L,Karyawan Formal,0,67.0,2,0.259,0,1.0,92.0,44000.0,6,4.35,0.004,2390000.0,0.329,0,0
CUST100145,Jabodetabek,18-25,P,UMKM/Wirausaha,0,16.0,1,0.657,2,0.389,112.0,16000.0,8,4.65,0.111,2530000.0,0.348,4,0
CUST100146,Jawa Non-Jabodetabek,26-35,L,Pekerja Informal/Gig,1,0.0,0,0.425,,0.572,74.0,30000.0,4,4.16,0.081,5300000.0,0.271,0,1
CUST100147,Sumatra,46-55,P,Pekerja Informal/Gig,1,0.0,0,0.304,,0.77,50.0,85000.0,8,4.32,0.061,2660000.0,0.402,2,0
CUST100148,Jawa Non-Jabodetabek,26-35,L,UMKM/Wirausaha,1,0.0,0,0.304,,0.666,51.0,71000.0,4,4.52,0.082,12780000.0,0.268,1,0
CUST100149,Jabodetabek,36-45,P,Karyawan Formal,0,65.0,0,0.307,0,0.562,59.0,23000.0,6,4.3,0.052,4030000.0,0.261,3,0
CUST100150,Sulawesi,18-25,L,Karyawan Formal,0,25.0,2,0.376,0,1.0,93.0,69000.0,1,3.46,0.026,1250000.0,0.196,1,0
CUST100151,Sulawesi,46-55,L,Pekerja Informal/Gig,1,0.0,0,0.195,,0.891,20.0,39000.0,1,4.44,0.108,4820000.0,0.103,0,1
CUST100152,Jabodetabek,46-55,P,UMKM/Wirausaha,1,0.0,0,0.442,,0.794,101.0,52000.0,1,3.46,0.121,1450000.0,0.337,1,0
CUST100153,Sumatra,36-45,P,Karyawan Formal,1,0.0,0,0.544,,0.901,90.0,59000.0,5,3.7,0.041,2630000.0,0.107,1,0
CUST100154,Jabodetabek,36-45,L,UMKM/Wirausaha,0,17.0,2,0.333,1,0.769,98.0,33000.0,4,3.97,0.019,7020000.0,0.308,3,0
CUST100155,Sumatra,18-25,L,Karyawan Formal,0,60.0,2,0.113,1,0.876,56.0,22000.0,4,3.64,0.032,4040000.0,0.197,0,0
CUST100156,Jawa Non-Jabodetabek,46-55,P,Karyawan Formal,0,26.0,4,0.396,1,0.859,84.0,20000.0,9,5.0,0.169,1990000.0,0.262,1,0
CUST100157,Sumatra,36-45,L,Pekerja Informal/Gig,1,0.0,0,0.128,,0.328,22.0,91000.0,4,4.24,0.168,860000.0,0.297,1,0
CUST100158,Kalimantan,18-25,P,UMKM/Wirausaha,1,0.0,0,0.09,,0.697,103.0,34000.0,4,4.85,0.219,2050000.0,0.496,0,0
CUST100159,Kalimantan,56+,P,Karyawan Formal,0,14.0,1,0.478,0,0.697,62.0,49000.0,4,4.88,0.062,3330000.0,0.229,0,0
CUST100160,Jabodetabek,18-25,L,Pekerja Informal/Gig,1,0.0,0,0.02,,0.506,56.0,29000.0,3,3.8,0.03,1690000.0,0.282,0,0
